"filename", "language", "CSS", "JavaScript", "JavaScript JSX", "comment", "blank", "total"
"c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\components\Bar\Bar.stories.js", "JavaScript", 0, 11, 0, 0, 3, 14
"c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\components\Bar\index.js", "JavaScript", 0, 1, 0, 0, 1, 2
"c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\components\Bar\style.css", "CSS", 10, 0, 0, 0, 3, 13
"c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\components\Divider\Divider.jsx", "JavaScript JSX", 0, 0, 9, 4, 4, 17
"c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\components\Divider\Divider.stories.js", "JavaScript", 0, 11, 0, 0, 3, 14
"c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\components\Divider\index.js", "JavaScript", 0, 1, 0, 0, 1, 2
"c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\components\Divider\style.css", "CSS", 31, 0, 0, 0, 5, 36
"c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\components\GlobalHeader\GlobalHeader.jsx", "JavaScript JSX", 0, 0, 160, 4, 9, 173
"c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\components\GlobalHeader\GlobalHeader.stories.js", "JavaScript", 0, 25, 0, 0, 3, 28
"c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\components\GlobalHeader\index.js", "JavaScript", 0, 1, 0, 0, 1, 2
"c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\components\GlobalHeader\style.css", "CSS", 219, 0, 0, 0, 37, 256
"c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\components\IconClose\IconClose.jsx", "JavaScript JSX", 0, 0, 6, 4, 3, 13
